Variable Name,FieldOfStudyData1415_1516 datafile,FieldOfStudyData1516_1617 datafile,FieldOfStudyData1617_1718 datafile,FieldOfStudyData1718_1819 datafile,FieldOfStudyData1819_1920 datafile,FieldOfStudyData1920_2021 datafile,FieldOfStudyData2021_2122 datafile,FieldOfStudyData2122_2223 datafile,FieldOfStudyMostRecent datafile,,,,,,,,,,
DEBT_NOTMALE_STGP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_STGP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_STGP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_STGP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_PP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_PP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_PP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_PP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_PP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOTMALE_PP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_STGP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_STGP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_STGP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_STGP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_STGP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_STGP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_PP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_PP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
